EXP 378 Samples Processing Log,,,,,,,,,,Age model based on CCSF-ABCDE-20200924,,,,,,,Ich Accum (prelim),,,Dry log,,Initial wash (DI water whole sample),,,,Acid Wash,,,Heavy Liquid Step,,,Alizarin Dye Step,,,Picking Log,,,>150 um,,,106-150 um,,,63-106 um,,,38-63 um,,,Don't edit this one,Edit this one!,,Imaging Log,Yale keyence only,,,Segmenting,"Green = complete ""final"" segment",
Serial #,Exp,Site,Hole,Core,Core Type,Sect,Half,Top (cm),Bottom (cm),Top depth CCSF-378-U1553-ABCDE-20200924 (m),Bottom depth CCSF-378-U1553-ABCDE-20200924 (m),Mid-depth CCSF (calc),Age (Linear Interpolation),Sedimentation Rate (cm/Kyr),Sedimentation Rate (cm/Myr),"DBD (variable, g/cm^3)",ich/cm2/myr,Point Person,Time Period,Into Oven,Out of oven,Date washed,Washed by,Dry Weight,Notes,Date acidified,Acidified by,Notes,Date Separated,Separated by,Notes,Date in Alizarin,Dyed by,Dye notes,Picked By,Date started,Date Ended,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Total Ichthyoliths,Total Ichthyoliths (manual),Notes on Picking,Date photographed,Photographed by,Hole 1 zoom level,Hole 2 zoom level (if relevant),Threshold Hole 1,Threshold Hole 2,
1,378,U1553,E,1,H,1,W,45,49,1.29,1.33,1.31,6.7334,0.019455253,19.45525292,0.94253333,0,Elizabeth,Mio-Mod,19-Dec,24-Jan,5/26/22,ECS,45.582,,5/30/22,ECS,had to do twice,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
2,378,U1553,E,1,H,1,W,95,99,1.79,1.83,1.81,9.3034,0.019455253,19.45525292,0.9412,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
3,378,U1553,E,1,H,1,W,145,149,2.29,2.33,2.31,11.8734,0.019455253,19.45525292,0.94081181,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,1-Feb,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
4,378,U1553,E,1,H,2,W,45,49,2.79,2.83,2.81,14.4434,0.019455253,19.45525292,0.94892989,#DIV/0!,Elizabeth,Mio-Mod,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
5,378,U1553,E,1,H,2,W,95,99,3.29,3.33,3.31,17.0134,0.019455253,19.45525292,0.95704797,0,Elizabeth,Mio-Mod,24-Jan,8-Feb,5/27/22,ECS,38.592,,5/30/22,ECS,Had to do twice,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
6,378,U1553,E,1,H,2,W,145,149,3.79,3.83,3.81,19.5834,0.019455253,19.45525292,0.96516605,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
7,378,U1553,E,1,H,3,W,45,49,4.3,4.34,4.32,22.2048,0.019455253,19.45525292,0.97344649,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
8,378,U1553,E,1,H,3,W,95,99,4.8,4.84,4.82,24.7748,0.019455253,19.45525292,0.98156458,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
9,378,U1553,E,1,H,3,W,145,149,5.3,5.34,5.32,25.72022117,0.052886482,52.88648238,0.98431722,0,Elizabeth,Mio-Mod,21-Nov,21-Dec,5/17/22,ECS,39.558,,5/26/22,ECS,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
10,378,U1553,E,1,H,4,W,43,46,5.78,5.81,5.795,25.75023697,1.5825,1582.5,0.98474773,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
11,378,U1553,E,1,H,4,W,93,96,6.28,6.31,6.295,25.78183254,1.5825,1582.5,0.98520091,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
12,378,U1553,E,1,H,4,W,143,146,6.78,6.81,6.795,25.81342812,1.5825,1582.5,0.98565408,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
13,378,U1553,E,1,H,5,W,47,50,7.33,7.36,7.345,25.84818325,1.5825,1582.5,0.98615257,0,Elizabeth,Mio-Mod,24-Jan,8-Feb,4/15/22,ECS,42.771,,5/17/22,ECS,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
14,378,U1553,E,1,H,5,W,97,100,7.83,7.86,7.845,25.87977883,1.5825,1582.5,0.98660574,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
15,378,U1553,E,1,H,5,W,145,149,8.31,8.35,8.33,25.91042654,1.5825,1582.5,0.98704532,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
16,378,U1553,E,2,H,4,W,96,99,14.73,14.76,14.745,26.31579779,1.5825,1582.5,0.99285952,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
17,378,U1553,E,2,H,5,W,70,76,15.98,16.04,16.01,26.3957346,1.5825,1582.5,1.00184071,0,Elizabeth,Mio-Mod,24-Jan,8-Feb,5/17/22,ECS,32.812,,5/30/22,ECS,Had to do twice,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
18,378,U1553,A,3,H,4,W,58,63,17.73,17.78,17.755,26.50544218,1.590592012,1590.592012,1.01573894,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
19,378,U1553,E,3,H,3,W,122,126,23.69,23.73,23.71,26.84658074,1.745625,1745.625,0.99319943,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
20,378,U1553,E,3,H,6,W,108,112,28.06,28.1,28.08,27.09692087,1.745625,1745.625,0.99281457,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
21,378,U1553,E,4,H,3,W,40,43,32.85,32.88,32.865,27.37103473,1.745625,1745.625,0.97960533,0,Elizabeth,Mio-Mod,19-Dec,24-Jan,5/27/22,ECS,37.206,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
22,378,U1553,A,5,H,3,W,60,64,36.49,36.53,36.51,27.57984246,1.745625,1745.625,0.91795111,#DIV/0!,Elizabeth,Mio-Mod,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
23,378,U1553,B,5,H,4,W,43,49,41.32,41.38,41.35,27.85710705,1.745625,1745.625,0.93663158,#DIV/0!,Elizabeth,Oligocene,24-Jan,8-Feb,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
24,378,U1553,E,6,H,2,W,72,76,47.18,47.22,47.2,28.17116485,1.862714483,1862.714483,0.96342094,#DIV/0!,Elizabeth,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
25,378,U1553,B,6,H,4,W,46,50,51.3,51.34,51.32,28.35327613,2.262352941,2262.352941,1.02627621,0,Elizabeth,,24-Jan,8-Feb,5/25/22,ECS,39.799,,5/26/22,ECS,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
26,378,U1553,E,7,H,3,W,51,55,58.55,58.59,58.57,28.67373895,2.262352941,2262.352941,1.06347111,#DIV/0!,Iszac/Elizabeth,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
27,378,U1553,B,8,H,2,W,52,56,62.34,62.38,62.36,28.84126365,2.262352941,2262.352941,1.06571244,#DIV/0!,Iszac/Elizabeth,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
28,378,U1553,B,8,H,6,W,7,12,67.92,67.97,67.945,29.08813053,2.262352941,2262.352941,1.01962778,#DIV/0!,Iszac/Elizabeth,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
29,378,U1553,A,9,H,2,W,58,62,75.44,75.48,75.46,29.42030681,2.262352941,2262.352941,1.04634959,#DIV/0!,Iszac/Elizabeth,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
30,378,U1553,A,9,H,6,W,26,30,81.11,81.15,81.13,29.67093084,2.262352941,2262.352941,1.12957143,#DIV/0!,Iszac/Elizabeth,,19-Jan,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
31,378,U1553,A,10,H,3,W,89,93,86.78,86.82,86.8,29.88395822,2.661629636,2661.629636,1.30028953,#DIV/0!,Iszac/Elizabeth,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
32,378,U1553,A,11,H,2,W,58,62,95.57,95.61,95.59,30.15231923,3.275438596,3275.438596,1.03789525,#DIV/0!,Iszac/Elizabeth,,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
33,378,U1553,B,12,H,2,W,97,101,104.24,104.28,104.26,30.4170166,3.275438596,3275.438596,1.08755233,12974.24301,Iszac,,24-Jan,8-Feb,5/25/22,IMH,52.441,,5/26/22,IMH,,5/31/22,IMH/ECS,,7/8/22,IMH,Post picking,IMH,6/28/22,7/11/22,,,,0,8,10,0,36,18,0,147,61,191,191,Ended up with 4 images due to an extra post-LST dye step,7/8/22,IMH/ECS,200X,200X,0.16,0.25,3 of 2: 0.29; 4 of 2: 0.24
34,378,U1553,E,13,H,5,W,56,60,116.12,116.16,116.14,30.77971612,3.275438596,3275.438596,1.13604501,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
35,378,U1553,A,13,H,6,W,13,17,122.14,122.18,122.16,30.9635083,3.275438596,3275.438596,1.14111765,0,Iszac,,19-Dec,24-Jan,5/31/22,IMH,53.303,Big,6/2/22,IMH,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
36,378,U1553,A,14,H,5,W,33,37,131.46,131.5,131.48,31.24805035,3.275438596,3275.438596,1.18609091,#DIV/0!,Iszac,,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
37,378,U1553,E,16,H,2,W,94,98,142.81,142.85,142.83,31.65447046,2.792676736,2792.676736,1.13597065,6460.735212,Iszac,,19-Dec,24-Jan,6/14/22,IMH,53.522,,6/17/22,IMH,,6/28/22,IMH,stuck to bottom,,,,,7/25/22,8/1/22,,,,0,10,3,0,55,22,0,44,13,109,109,,,IMH,200x,,0.27,,
