IntID,Sample number,Sample ID,Object,Hole,Tooth/Dent,Fragmentation,Alias,Full Name,Age_old_DO_NOT_USE,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00001,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00002,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00003,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00004,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00005,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00006,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00007,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00008,1,2,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00009,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00010,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00011,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00012,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00013,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00014,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00015,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00016,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00017,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00018,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00019,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00020,1,2,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00021,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00022,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00023,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00024,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00025,1,2,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00026,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00027,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00028,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00029,1,2,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00030,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00031,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00032,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00033,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00034,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00035,1,2,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00036,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00037,1,4,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00038,1,2,,,#N/A,47.13592036,
,101,101_U1553C_22R_1W_28-30cm_N1of2,obj00039,1,4,,,#N/A,47.13592036,
