,EXP 378 Samples Processing Log,,,,,,,,,,Age model based on CCSF-ABCDE-20200924,,,Shipboard Age,,,,Ich Accum (prelim),Bryan Age Model updates,,,,,,,Dry log,,Initial wash (DI water whole sample),,,,Acid Wash,,,Heavy Liquid Step,,,Alizarin Dye Step,,,Picking Log,,,>150 um,,,106-150 um,,,63-106 um,,,38-63 um,,,,,Don't edit this one,Edit this one!,,Imaging Log,Yale keyence only,,,Segmenting,"Green = complete ""final"" segment",
IODP Sample Request,Serial #,Exp,Site,Hole,Core,Core Type,Sect,Half,Top (cm),Bottom (cm),Top depth CCSF-378-U1553-ABCDE-20200924 (m),Bottom depth CCSF-378-U1553-ABCDE-20200924 (m),Mid-depth CCSF (calc),Age (Linear Interpolation),Sedimentation Rate (cm/Kyr),Sedimentation Rate (cm/Myr),"DBD (variable, g/cm^3)",ich/cm2/myr,Age (Ma) New,Age Difference,Sed rate (cm/kyr),Sed rate (cm/myr),IAR,Point Person,Time Period,Into Oven,Out of oven,Date washed,Washed by,Dry Weight,Notes,Date acidified,Acidified by,Notes,Date Separated,Separated by,Notes,Date in Alizarin,Dyed by,Dye notes,Picked By,Date started,Date Ended,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Dent,Teeth,Frag,Total Teeth,Total Denticles,Total Ichthyoliths,Total Ichthyoliths (manual),Notes on Picking,Date photographed,Photographed by,Hole 1 zoom level,Hole 2 zoom level (if relevant),Threshold Hole 1,Threshold Hole 2,
91039IODP,1,378,U1553,E,1,H,1,W,45,49,1.29,1.33,1.31,6.7334,0.01945525292,19.45525292,0.94253333,0,6.812,0.0786,0.01923076923,19.23076923,0,Elizabeth,Mio-Mod,19-Dec,24-Jan,5/26/2022,ECS,45.582,,5/30/2022,ECS,had to do twice,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,2,378,U1553,E,1,H,1,W,95,99,1.79,1.83,1.81,9.3034,0.01945525292,19.45525292,0.9412,#DIV/0!,9.412,0.1086,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,3,378,U1553,E,1,H,1,W,145,149,2.29,2.33,2.31,11.8734,0.01945525292,19.45525292,0.94081181,#DIV/0!,12.012,0.1386,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,1-Feb,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,4,378,U1553,E,1,H,2,W,45,49,2.79,2.83,2.81,14.4434,0.01945525292,19.45525292,0.94892989,#DIV/0!,14.612,0.1686,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,21-Nov,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,5,378,U1553,E,1,H,2,W,95,99,3.29,3.33,3.31,17.0134,0.01945525292,19.45525292,0.95704797,0,17.212,0.1986,0.01923076923,19.23076923,0,Elizabeth,Mio-Mod,24-Jan,8-Feb,5/27/2022,ECS,38.592,,5/30/2022,ECS,Had to do twice,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,6,378,U1553,E,1,H,2,W,145,149,3.79,3.83,3.81,19.5834,0.01945525292,19.45525292,0.96516605,#DIV/0!,19.812,0.2286,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,7,378,U1553,E,1,H,3,W,45,49,4.3,4.34,4.32,22.2048,0.01945525292,19.45525292,0.97344649,#DIV/0!,22.464,0.2592,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,in oven final dry 5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,8,378,U1553,E,1,H,3,W,95,99,4.8,4.84,4.82,24.7748,0.01945525292,19.45525292,0.98156458,#DIV/0!,25.064,0.2892,0.01923076923,19.23076923,#DIV/0!,Elizabeth,Mio-Mod,24-Jan,8-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,9,378,U1553,E,1,H,3,W,145,149,5.3,5.34,5.32,25.72022117,0.05288648238,52.88648238,0.98431722,0,26.01282051,0.2925993438,0.05269700573,52.69700573,0,Elizabeth,Mio-Mod,21-Nov,21-Dec,5/17/2022,ECS,39.558,,5/26/2022,ECS,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
91039IODP,10,378,U1553,E,1,H,4,W,43,46,5.78,5.81,5.795,25.75023697,1.5825,1582.5,0.98474773,#DIV/0!,26.03185096,0.2816139947,2.496,2496,#DIV/0!,Elizabeth,Mio-Mod,19-Dec,24-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
